Satisfactory," 8 Jun, 2020",80997,"Base Building, Automation, Open World, Crafting, Multiplayer, Co-op, Resource Management, Building, Sandbox, Exploration, Adventure, Early Access, Simulation, Strategy, Open World Survival Craft, Survival, First-Person, Indie, Sci-fi, Singleplayer"
Vampire Survivors," 17 Dec, 2021",74955,"Action Roguelike, Pixel Graphics, Bullet Hell, Casual, 2D, Action, Indie, RPG, Roguelite, Vampire, Action RPG, Singleplayer, Controller, Score Attack, Arcade, Early Access, Dark Fantasy, Retro, Roguelike, 1980s"
Midnight Ghost Hunt, 2022 年 3 月 31 日,2119,"抢先体验, 战斗, 多人, 团队导向, 第一人称射击, 玩家对战, 第一人称, 灵异, 动作, 90 年代, 独立, 射击, 拟真, 科幻, 喜剧, 战术, 3D, 第三人称射击, 人工智能, 控制器"
Cultivation Tales," 14 Apr, 2022",2018,"Early Access, Sandbox, Building, Action, Online Co-Op, Action Roguelike, Adventure, Tower Defense, Strategy, Action-Adventure, Massively Multiplayer, Survival, RPG, Open World Survival Craft, PvP, Open World, 3D Platformer, Third Person, Co-op, Action RPG"
DayZ Livonia," 3 Dec, 2019",929,"Action, Adventure, Massively Multiplayer, Survival, Zombies, Open World, Violent"
Arma 3," 12 Sep, 2013",160546,"Action, Military, Multiplayer, Simulation, Shooter, First-Person, Realistic, Open World, Tactical, FPS, War, Co-op, Strategy, Sandbox, Moddable, Combat, Singleplayer, Online Co-Op, Team-Based, Third-Person Shooter"
Path of Exile," 23 Oct, 2013",180123,"Free to Play, Action RPG, Hack and Slash, RPG, Multiplayer, Loot, Massively Multiplayer, Dungeon Crawler, Character Customization, Inventory Management, MMORPG, Action, Fantasy, Adventure, Isometric, Singleplayer, Online Co-Op, PvP, Horror, Point & Click"
Deep Rock Galactic, 2020 年 5 月 13 日,102627,"合作, 玩家对战环境, 第一人称射击, 刷宝, 探索, 刷宝射击游戏, 程序生成, 射击, 第一人称, 职业导向, 恐怖, 科幻, 动作, 太空, 战斗, 氛围, 动作类 Rogue, 黑暗, 生存, 开放世界"
Terraria, 2011 年 5 月 16 日,747289,"开放世界生存制作, 沙盒, 生存, 2D, 多人, 冒险, 制作, 像素图形, 建造, 探索, 合作, 开放世界, 独立, 在线合作, 动作, 角色扮演, 单人, 重玩价值, 平台游戏, 氛围"
The Day Before," ⚡June 21, 2022 — Add to Wishlist!",,"Open World, Zombies, Survival, Multiplayer, Post-apocalyptic, Massively Multiplayer, Third-Person Shooter, Shooter, Action, Co-op, Adventure, Realistic, Singleplayer, Online Co-Op, Free to Play, Open World Survival Craft, PvP, Base Building, PvE, Building"
Baldur's Gate 3," 6 Oct, 2020",45016,"Early Access, RPG, Choices Matter, Story Rich, Character Customization, CRPG, Co-op Campaign, Fantasy, Romance, Class-Based, Dark Fantasy, PvE, Narration, Stealth, Combat, Crafting, Isometric, Tutorial, Team-Based, Turn-Based Combat"
DEVOUR," 28 Jan, 2021",29941,"Horror, Online Co-Op, Multiplayer, Survival Horror, Co-op, Survival, Dark, First-Person, Indie, Psychological Horror, Atmospheric, Difficult, Sexual Content, Singleplayer, Puzzle, Stealth, Gore, Action, Violent, FPS"
SCUM," 29 Aug, 2018",58448,"Survival, Open World Survival Craft, Multiplayer, Open World, Zombies, Massively Multiplayer, Action, Early Access, Adventure, Crafting, Nudity, Realistic, Singleplayer, FPS, Violent, PvP, Third Person, Gore, Indie, RPG"
